name,categories,address,price,likes,photos,tips,rating,ratingSignals,has_rating,signals_band,engagement
Pastaliano Pasta & Crepe,Italian Restaurant,"Imam Muslim St. (Alshafa Plaza), الرياض 14725, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
Domino's Pizza,Pizza Place,"Al Shifa Plaza, Al Imam Muslim St, Badr, الرياض 14725, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Burger King,American Restaurant,"طريق الامام مسلم, الرياض, المملكة العربية السعودية",Moderate,0.0,1,0,,,0,,1.0
Shawerma Emperor (إمبراطور الشاورما),Shawarma Place,"حي بدر (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",Nan,0.0,0,0,,,0,,0.0
Türk Kassabi Bereket,Turkish Restaurant,المملكة العربية السعودية,Moderate,0.0,0,0,,,0,,0.0
Sandes,Diner,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
دواجن الحزم,Wings Joint,"الرياض 14966, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
ترك قهوة مختصة,Café,"الرياض 14964, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
كنتاكي | kfc,Fried Chicken Joint,المملكة العربية السعودية,Cheap,0.0,2,0,,,0,,2.0
#عربة_قهوة_مختصة,Coffee Shop,"الرياض 14964, المملكة العربية السعودية",Cheap,0.0,8,0,,,0,,8.0
Lions Food,Food Court,"Hazm, الرياض 14964, المملكة العربية السعودية",Nan,0.0,4,0,,,0,,4.0
10 Sport Cafe,Coffee Shop,"Al Hazam, الرياض 14964, المملكة العربية السعودية",Cheap,0.0,3,0,,,0,,3.0
واحة الشطيرة,Burger Joint,"الرياض 14964, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
12 Burger,Burger Joint,"الرياض 14964, المملكة العربية السعودية",Cheap,0.0,10,0,,,0,,10.0
الشورما العربي,Turkish Restaurant,"حي الحزم (طريق ديراب), الرياض 14964, المملكة العربية السعودية",Moderate,0.0,0,1,,,0,,1.0
Shawrma Mahboob (شاورما محبوب),Doner Restaurant,"Dirab Rd., الرياض 14964, المملكة العربية السعودية",Nan,0.0,0,0,,,0,,0.0
باجة,Snack Place,"حي المروة (طريق ديراب), الرياض 14964, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
Burger King - Dirab,Burger Joint,"Dirab Branch Rd, Opposite Al Dawaa Pharmacy, Al Marwah, الرياض 14722, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
اسكندر افندي,Turkish Restaurant,"حي بدر (طريق ابن تيمية), الرياض, المملكة العربية السعودية",Moderate,0.0,2,0,,,0,,2.0
Fun Taste,Restaurant,"الرياض 14724, المملكة العربية السعودية",Moderate,0.0,3,2,,,0,,5.0
مخبز وبوفية فوال  الشرق الاوسط,Breakfast Spot,"حي بدر (شارع الخليفة المأمون), المملكة العربية السعودية",Cheap,0.0,4,0,,,0,,4.0
شاورما جي,Fast Food Restaurant,"الرياض 14724, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
BAHRYA (بحرية),Seafood Restaurant,المملكة العربية السعودية,Expensive,0.0,1,0,,,0,,1.0
كفي في التسعين,Coffee Shop,المملكة العربية السعودية,Cheap,0.0,4,0,,,0,,4.0
اطلق بوفيه بالرياض,Buffet,"الرياض 14724, المملكة العربية السعودية",Nan,0.0,0,0,,,0,,0.0
Karyet Al Romansiah,Turkish Restaurant,"Shifa (Al bedir), الرياض, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
شركة العردان ( بوفية ),Indian Restaurant,"الشفا, الرياض 14724, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
الشفا للوجبات السريعة,Chaat Place,"الشفا (طريق عرفات), الرياض, المملكة العربية السعودية",Nan,0.0,0,0,,,0,,0.0
فور برجر,Burger Joint,المملكة العربية السعودية,Cheap,0.0,0,0,,,0,,0.0
البيتزا الساخنة,Pizza Place,"شارع المشتل, الرياض 14964, المملكة العربية السعودية",Cheap,0.0,3,0,,,0,,3.0
مطعم بخاري,Afghan Restaurant,"الحزم (شارع المشتل), الرياض, المملكة العربية السعودية",Moderate,0.0,3,0,,,0,,3.0
ايس كريم ابو سارة ولد الحارة,Ice Cream Shop,"الرياض 14964, المملكة العربية السعودية",Cheap,0.0,1,0,,,0,,1.0
Juice Day,Juice Bar,"الرياض 14964, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
Domino's Pizza (دومينوز بيتزا),Pizza Place,"4022 Al Mashtal St, Al Hazm, الرياض 14964, المملكة العربية السعودية",Cheap,0.0,0,0,,,0,,0.0
كشري كنانة,Middle Eastern Restaurant,"الرياض 14964, المملكة العربية السعودية",Moderate,0.0,0,0,,,0,,0.0
مطاعم هبري,Lebanese Restaurant,"شارع المشتل, الرياض 14964, المملكة العربية السعودية",Nan,0.0,0,0,,,0,,0.0
